iter	Logloss
0	0.6337620036
1	0.5907460124
2	0.5590390625
3	0.5305276286
4	0.5086567383
5	0.4883841553
6	0.4742482096
7	0.4595424805
8	0.4486132406
9	0.4398168538
10	0.43034021
11	0.4226085205
12	0.4133793945
13	0.4054049072
14	0.3983048503
15	0.3909145508
16	0.3850662028
17	0.380875651
18	0.3762027995
19	0.3720820313
20	0.3706605632
21	0.3678569336
22	0.3620192057
23	0.3576397298
24	0.3551897786
25	0.3518352051
26	0.3486549072
27	0.3468966064
28	0.3434847819
29	0.3394987793
30	0.3348441569
31	0.3327790934
32	0.3287641805
33	0.3252035319
34	0.3221961263
35	0.319170166
36	0.3165544434
37	0.3123650716
38	0.3108663737
39	0.3081712443
40	0.3054395345
41	0.3031036784
42	0.3019681396
43	0.2989494629
44	0.298547404
45	0.2957526042
46	0.293551473
47	0.2921859131
48	0.2906465861
49	0.2890791829
