iter	Passed	Remaining
0	115	5679
1	124	2992
2	132	2083
3	141	1627
4	149	1343
5	157	1155
6	170	1049
7	179	941
8	189	861
9	197	789
10	206	732
11	215	681
12	223	637
13	232	598
14	240	561
15	248	528
16	255	496
17	263	468
18	271	442
19	279	419
20	289	399
21	298	379
22	303	356
23	308	334
24	312	312
25	315	291
26	320	272
27	323	254
28	327	236
29	330	220
30	336	206
31	341	192
32	345	177
33	349	164
34	353	151
35	357	138
36	360	126
37	364	115
38	368	103
39	372	93
40	376	82
41	380	72
42	384	62
43	387	52
44	391	43
45	395	34
46	399	25
47	402	16
48	406	8
49	409	0
